run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
51,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,103.70870420235823,0.021228348645444,2.230274067778618,0.54,0.042,2.176602940438912,0.546,0.039,0.6926029948069375,0.554,0.056,0.692713546813873,0.538,0.031
52,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,105.06417793522849,0.0205111076853314,1.8526515502634708,0.651,0.153,2.008586984013535,0.619,0.112,0.6927634661002712,0.588,0.09,0.692822572932851,0.56,0.053
53,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,104.59787352787836,0.0175881204191616,1.417460789795529,0.593,0.095,1.3382460636834288,0.625,0.118,0.6926463416922564,0.7,0.202,0.6926969343676289,0.676,0.169
54,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1165.8558627099949,0.0210610928140574,24.247192207448837,0.591,0.093,25.132425566648557,0.596,0.089,0.6927972574528034,0.719,0.221,0.6928229887156598,0.683,0.176
55,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,140.91696019270432,0.0192223809531577,2.836850074841033,0.591,0.093,2.7549344539856992,0.594,0.087,0.6926420854129752,0.765,0.267,0.6927005222708926,0.742,0.235
56,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,13.072419751755437,0.0230546326462296,0.6962892050876708,0.583,0.085,0.6962712803705631,0.568,0.061,0.6923383438356343,0.598,0.1,0.6924435547967372,0.581,0.074
57,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,118.21429553965478,0.0202087066297448,6.646973713320564,0.517,0.019,6.8066194497101336,0.503,-0.004,0.6925977348568472,0.699,0.201,0.6926479285264094,0.684,0.177
58,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,21.669184394575275,0.0227625597099475,0.7448496610995701,0.639,0.141,0.766698742610288,0.638,0.131,0.6924545934048505,0.705,0.207,0.692494318055481,0.686,0.179
59,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,140.2202183112928,0.02322348775125,2.670310060738743,0.625,0.127,2.498416467262796,0.642,0.135,0.6926768397157989,0.729,0.231,0.6926834728528763,0.699,0.192
60,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,123.62350690011334,0.0208210933873799,2.0147004896922565,0.663,0.165,2.307266680412099,0.638,0.131,0.6925499267132255,0.75,0.252,0.6926080037900625,0.751,0.244
61,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,14.201881266889936,0.0230154782666899,0.6548511860910416,0.638,0.14,0.6593213621667219,0.62,0.113,0.6927289259140825,0.581,0.083,0.6927692776578102,0.591,0.084
62,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,12.703295555336734,0.0215202067428586,0.7467241734725869,0.493,-0.005,0.7238512542928748,0.527,0.02,0.6924365594483981,0.727,0.229,0.6924923771694527,0.694,0.187
63,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,12.895410626377544,0.0242302955677709,0.8326385076121158,0.506,0.008,0.851445851725917,0.497,-0.01,0.6924796400970663,0.647,0.149,0.6925697484725215,0.641,0.134
64,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1132.313355218172,0.0192681749534331,27.046975858471107,0.565,0.067,26.64192455033416,0.585,0.078,0.6925459438143289,0.707,0.209,0.6926097667036288,0.673,0.166
65,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,109.98325352021028,0.024739906640288,2.617683093036197,0.536,0.038,2.549346163857789,0.547,0.04,0.6927006875750863,0.553,0.055,0.6927618973922858,0.551,0.044
66,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,115.0724697130441,0.0231020580423652,2.9583269491137645,0.543,0.045,3.0326711458721163,0.55,0.043,0.6925672495299104,0.555,0.057,0.692666265520557,0.534,0.027
67,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,24.71806217290417,0.0216820268784946,0.6940493593957489,0.605,0.107,0.6906637334203581,0.606,0.099,0.6928578329689596,0.56,0.062,0.6928774078880947,0.558,0.051
