run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
38,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.01,10.0,13574.9294389607,0.1038577359575394,inf,0.516,0.018,inf,0.507,0.0,0.6915115634639475,0.633,0.135,0.6915860824402469,0.644,0.137
39,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,272.6256346470344,0.1021432650926088,6.406567192327184,0.593,0.095,6.352318457103886,0.589,0.082,0.6931746470280059,0.488,-0.01,0.6928906148216762,0.52,0.013
40,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.02,10.0,6230.014438022577,0.1084811876195258,inf,0.526,0.028,inf,0.55,0.043,0.6923417741280056,0.562,0.064,0.6922883875205593,0.583,0.076
41,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,54.42101112976527,0.0807028975233869,1.3381611014633212,0.553,0.055,1.3402525931703444,0.541,0.034,0.6931453185367993,0.52,0.022,0.693003856273817,0.548,0.041
42,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,23.5014438734742,0.104608151554686,0.7199618303523471,0.642,0.144,0.7067683173809589,0.646,0.139,0.6933957836461024,0.451,-0.047,0.693200210270324,0.486,-0.021
43,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.02,10.0,5674.2750088583225,0.1217289082517866,inf,0.607,0.109,inf,0.573,0.066,0.6932824896532546,0.532,0.034,0.6934860870492673,0.516,0.009
44,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.01,10.0,12758.159883564686,0.0938937892493537,inf,0.603,0.105,inf,0.609,0.102,0.6928465849052601,0.538,0.04,0.6929328225081681,0.529,0.022
45,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.01,10.0,12159.894818004934,0.1015801206456211,inf,0.571,0.073,inf,0.566,0.059,0.6934939786065658,0.499,0.001,0.6934589912993646,0.508,0.001
46,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,143.6236962398538,0.0849785720705916,2.110961356357152,0.684,0.186,2.54704385071714,0.645,0.138,0.6917977447179869,0.582,0.084,0.6918957685972335,0.559,0.052
47,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,215.52691378457592,0.1069092821847385,4.757483185739602,0.626,0.128,4.606759350649944,0.632,0.125,0.6920856808493256,0.608,0.11,0.6920523682326368,0.618,0.111
48,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,230.675391521158,0.1030444623303589,3.761259194465386,0.654,0.156,4.185039146986567,0.632,0.125,0.6925230605093646,0.594,0.096,0.6923734997849477,0.608,0.101
49,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.02,10.0,4925.789900633857,0.0912505040728241,inf,0.624,0.126,inf,0.63,0.123,0.6938425158362245,0.493,-0.005,0.6939586825160977,0.48,-0.027
50,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,54.50761649845892,0.0978036231731999,1.9972880191522924,0.545,0.047,1.913464319846329,0.519,0.012,0.692551848019618,0.565,0.067,0.6927431140783138,0.538,0.031
51,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.05,10.0,3055.1073950036025,0.1157974479677996,33.76035241928589,0.68,0.182,39.98260631196201,0.654,0.147,0.6923566077804577,0.55,0.052,0.6925527947092542,0.535,0.028
52,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,54.03796209407439,0.0948870610811788,1.019113556796727,0.671,0.173,1.1113360591644383,0.64,0.133,0.6924601610459616,0.525,0.027,0.6925764450036115,0.517,0.01
53,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,53.38771331449461,0.0995292343269308,1.201621330753483,0.593,0.095,1.2132109026183229,0.591,0.084,0.6924310708386225,0.545,0.047,0.6923046538861242,0.553,0.046
54,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,22.84799840757994,0.1070499071081806,0.7378516813499462,0.571,0.073,0.7603867178322551,0.57,0.063,0.6933465204349841,0.471,-0.027,0.6931847982298726,0.491,-0.016
